transect,species,diameter_cm,depth_cm,flow_cfs
1,Chub,13.56,49,0.064
1,Paired,7.96,36,0.058
1,Stoneroller,9.28,34,0.05
2,Chub,16.12,28,0.057
2,Paired,7.6,31,0.058
2,Stoneroller,9.6,36,0.037
3,Chub,12.72,37,0.0657
3,Paired,5.16,23,0.1222
3,Stoneroller,9.529411765,10,0.063
4,Chub,14.44,29,0.068
4,Paired,7.88,19,0.104
4,Stoneroller,7.44,13,0.053
5,Chub,15.04,32,0.043
5,Paired,5.76,34,0.046
5,Stoneroller,9.8,16,0.046
7,Chub,14.72,31,0.075
7,Paired,5.12,29,0.073
7,Stoneroller,9.92,12,0.063
8,Chub,12.32,41,0.075
8,Paired,7.96,42,0.051
8,Stoneroller,8.88,36,0.039